Country,Dart,f,Go,Hadoop,Haskell,iOS,Java,JavaScript,lamp,Matlab,MongoDB,Node_js,Objective_C,Perl,php,Python,r,Redis,Ruby,Rust,Salesforce,Scala,Sharepoint,Spark,sql,SQL_Server,Swift,Visual_Basic,Windows_Phone,Wordpress
Afghanistan,4,5,4,5,4,7,8,7,5,6,4,6,6,5,6,5,4,4,5,4,4,4,4,4,7,6,4,3,4,5
Albania,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Algeria,0,1,0,1,0,0,8,9,1,2,0,2,0,0,10,2,1,0,0,0,0,2,1,0,8,4,0,3,3,1
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Antigua & Deps,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Argentina,1,2,0,0,0,8,47,74,14,3,11,19,8,1,35,33,3,4,13,0,3,2,1,1,60,28,5,12,2,6
Armenia,0,0,0,1,2,6,18,39,6,2,8,16,5,2,26,9,0,2,2,0,0,0,1,0,32,7,2,2,2,12
Australia,1,5,10,7,10,61,157,337,58,14,28,58,48,24,171,123,20,15,51,3,5,8,16,4,258,152,16,53,14,63
Austria,4,3,7,1,5,30,124,134,16,16,24,34,25,9,81,50,12,10,22,1,0,8,4,1,120,35,8,15,8,19
Azerbaijan,0,0,0,0,0,0,2,4,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3
Bahamas,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bahrain,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0
Bangladesh,0,0,1,0,0,3,19,25,4,2,2,5,4,0,20,10,0,1,2,0,0,0,0,0,18,10,1,2,1,7
Barbados,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Belarus,0,0,0,0,0,8,18,34,4,1,5,11,8,1,11,9,1,2,2,0,0,2,1,0,25,7,2,2,1,3
Belgium,2,0,3,2,5,16,101,128,22,9,20,34,13,5,76,51,5,4,10,0,2,5,6,2,110,41,6,16,12,14
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bhutan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bolivia,0,0,0,0,0,0,2,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0
Bosnia Herzegovina,0,0,1,0,0,2,8,12,0,0,1,2,0,0,3,4,0,1,2,0,0,0,0,0,8,6,0,2,3,3
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1,1,10,2,4,22,134,191,22,7,31,39,20,8,87,79,11,17,35,1,0,5,8,0,140,59,5,21,7,13
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,3,0,3,7,28,52,13,3,8,8,10,3,34,19,3,4,9,0,0,2,0,0,44,12,2,0,2,10
Burkina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,1,5,8,1,1,0,2,2,0,3,1,1,1,0,0,0,0,0,0,5,3,0,1,0,2
Cameroon,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Canada,5,5,18,17,12,69,269,415,74,24,56,116,66,25,194,187,21,39,84,3,2,9,23,3,349,150,23,78,9,70
Chile,0,0,1,0,0,4,13,24,4,1,1,5,3,1,18,13,6,1,9,0,0,1,0,0,21,10,0,4,2,2
China,0,1,8,4,3,27,66,82,19,9,19,25,17,9,43,62,8,15,17,0,0,5,2,0,63,18,8,10,3,8
Colombia,0,0,0,0,0,3,12,25,5,7,5,9,4,1,10,13,3,1,3,0,0,1,0,0,15,9,1,2,2,3
Congo {Democratic Rep},0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Costa Rica,0,0,1,0,0,2,9,12,2,0,4,5,2,0,4,7,1,0,2,1,0,0,1,0,9,7,1,2,1,4
Croatia,1,0,1,0,0,7,23,32,5,0,5,9,4,1,17,12,1,3,4,0,0,1,0,0,35,11,2,4,2,3
Cuba,0,0,0,0,0,1,2,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Cyprus,0,0,0,0,0,1,4,6,3,1,1,0,1,1,6,5,1,0,1,0,0,0,0,0,7,0,0,1,0,0
Czech Republic,7,1,2,1,6,12,77,114,15,12,8,27,10,10,69,56,9,6,13,1,0,8,1,0,92,34,7,7,7,15
Denmark,3,4,8,2,3,21,90,140,10,16,15,31,20,6,83,48,17,10,12,1,1,3,5,0,109,49,12,16,3,23
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,0,1,0,1
Ecuador,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0
Egypt,0,0,0,1,0,1,25,34,4,4,6,12,3,0,28,9,1,3,5,0,1,1,2,0,21,14,1,4,3,8
El Salvador,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
Estonia,0,1,0,0,0,4,21,30,6,1,4,4,4,0,20,12,2,0,1,1,0,3,1,0,22,5,3,2,2,7
Ethiopia,0,0,0,0,0,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,3,0,3,0,1
Finland,1,0,2,1,2,22,78,128,24,7,22,37,16,5,65,53,6,11,16,3,1,6,4,0,88,22,6,15,11,26
France,4,5,14,5,3,56,271,361,63,23,60,104,48,25,243,187,20,33,40,3,3,14,8,2,290,81,20,33,14,49
Gabon,0,0,0,0,0,1,3,2,2,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0
Georgia,1,1,2,1,2,4,13,14,4,1,3,5,3,2,8,4,1,2,5,1,1,1,1,1,13,10,3,2,2,4
Germany,10,11,48,17,42,146,790,838,110,86,121,218,121,69,548,419,78,48,122,13,4,40,27,6,719,191,57,109,48,142
Ghana,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0
Greece,1,1,0,2,1,5,55,73,13,9,10,6,4,5,47,29,4,5,7,0,0,2,1,0,64,20,4,6,3,14
Guatemala,0,0,0,0,0,1,8,5,2,0,0,1,0,1,6,2,0,0,2,0,0,0,0,0,4,1,0,0,0,1
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,1,2,6,1,1,0,1,1,0,3,0,0,0,1,0,1,0,1,0,2,3,1,3,1,1
Hungary,1,2,3,2,1,11,61,74,16,4,4,19,9,8,55,30,5,6,7,0,0,5,0,2,65,15,6,8,2,16
Iceland,0,0,0,0,0,2,9,7,0,1,2,3,2,0,3,5,0,0,0,0,0,0,0,0,7,2,0,0,0,1
India,3,2,11,50,9,140,787,867,125,33,125,141,132,33,514,278,39,42,79,2,13,24,13,3,633,336,48,120,39,169
Indonesia,0,0,1,0,0,2,39,51,8,2,5,11,2,1,56,9,1,1,5,0,0,2,2,0,51,23,1,16,0,9
Iran,0,3,4,3,0,13,73,114,12,12,12,26,11,2,80,38,3,6,13,0,0,0,2,0,87,64,5,25,13,29
Iraq,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0
Ireland {Republic},0,0,3,2,5,13,74,89,14,2,13,17,13,6,37,45,7,5,21,1,3,2,0,0,62,27,5,9,0,15
Israel,1,3,4,11,5,16,84,89,11,15,29,33,17,4,42,51,5,8,11,2,2,5,2,3,70,28,7,9,5,15
Italy,5,4,6,5,4,47,185,233,53,27,30,45,41,8,157,86,16,16,26,0,2,8,4,1,200,71,15,41,20,59
Jamaica,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Japan,0,0,5,0,2,14,23,22,5,1,1,6,15,2,7,19,1,2,3,0,1,3,0,0,16,2,6,0,0,1
Jordan,0,0,0,1,0,2,7,6,0,1,1,3,0,0,4,3,1,1,0,0,0,0,0,0,3,3,0,0,1,0
Kazakhstan,1,0,0,0,0,0,9,10,2,0,2,3,0,0,7,3,0,2,1,0,0,0,0,0,10,5,0,1,0,1
Kenya,0,0,1,1,0,0,3,7,1,0,2,1,0,0,7,7,0,1,2,0,0,0,0,0,6,2,0,0,1,0
Korea North,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Korea South,0,0,1,1,0,10,38,36,1,7,6,13,7,3,15,26,3,7,5,0,0,3,1,1,25,6,0,6,0,5
Kosovo,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Kuwait,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Laos,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1
Latvia,0,0,0,0,0,6,14,45,9,2,6,12,4,0,32,13,0,4,4,1,0,2,0,0,30,7,0,1,2,4
Lebanon,0,0,0,0,0,1,10,13,3,1,1,5,2,2,6,2,0,2,2,0,0,0,0,0,9,7,1,3,1,2
Liechtenstein,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Lithuania,0,0,2,1,1,4,20,38,6,2,9,9,3,0,26,15,2,4,3,0,0,1,2,0,33,12,2,2,1,9
Luxembourg,0,0,1,0,0,1,4,4,1,0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,3,1,1,0,0,1
Macedonia,0,0,0,0,0,1,10,16,4,0,3,2,1,0,13,1,0,1,0,0,0,0,0,0,13,7,0,2,1,5
Madagascar,0,0,0,0,0,1,1,3,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1
Malaysia,0,0,0,1,0,8,13,23,5,2,6,3,6,2,20,2,0,3,5,0,0,1,1,0,19,6,1,1,1,7
Maldives,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,1,0,0,2,8,11,1,1,0,3,2,0,4,0,1,0,0,0,0,0,0,0,8,5,0,3,2,2
Mauritania,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,1,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2
Mexico,1,0,1,2,0,11,59,90,17,5,12,15,11,3,65,25,6,3,8,0,0,0,0,1,76,40,7,18,4,18
Moldova,0,0,0,0,0,1,6,5,2,0,1,2,2,1,7,3,0,0,0,0,0,0,0,0,8,1,0,1,0,2
Mongolia,1,0,1,0,0,1,1,4,1,1,1,1,1,0,3,4,0,0,0,0,0,0,0,0,2,0,1,0,0,2
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
