Country,Employed_full_time,student,Freelance_Contractor,Employed_part_time,Unemployed,Prefer not to disclose,Other,Retired
Afghanistan,10,1,3,2,1,2,1,0
Albania,4,1,1,1,0,0,0,0
Algeria,5,4,3,2,3,0,0,0
Andorra,0,0,0,1,0,0,0,0
Angola,0,1,0,0,1,0,0,0
Antigua & Deps,2,0,0,0,1,1,0,0
Argentina,75,12,19,18,2,1,1,0
Armenia,38,5,5,12,0,1,0,0
Australia,367,61,74,15,9,8,6,5
Austria,133,40,25,29,5,4,6,0
Azerbaijan,4,0,1,1,0,0,0,0
Bahamas,0,1,0,0,0,0,0,0
Bahrain,3,1,2,0,0,0,0,0
Bangladesh,31,6,8,1,2,0,0,0
Barbados,2,0,0,0,0,0,0,0
Belarus,35,3,6,4,1,0,0,0
Belgium,142,41,29,2,3,2,1,1
Benin,0,0,0,0,0,0,0,1
Bhutan,1,1,0,0,0,0,0,0
Bolivia,4,0,0,0,0,0,0,0
Bosnia Herzegovina,10,4,1,0,1,0,1,0
Botswana,0,0,0,1,0,0,0,0
Brazil,200,37,28,18,10,1,5,1
Brunei,0,1,0,0,0,0,0,0
Bulgaria,65,11,8,4,0,1,1,0
Burkina,1,0,0,0,0,0,0,0
Cambodia,3,3,0,1,0,1,0,0
Cameroon,0,1,0,0,0,0,1,0
Canada,454,142,72,24,14,6,5,3
Chile,29,3,6,3,1,1,1,0
China,130,38,4,4,3,2,1,0
Colombia,20,6,6,2,1,2,0,0
Congo,0,0,0,0,0,1,0,0
Costa Rica,13,2,2,2,0,0,0,0
Croatia,38,12,3,1,0,0,0,0
Cuba,3,0,0,1,0,0,0,0
Cyprus,5,1,1,2,1,0,0,0
Czech Republic,98,47,35,17,6,3,1,0
Denmark,146,44,20,9,5,4,6,2
Djibouti,0,0,0,0,0,0,0,0
Dominican Republic,7,0,2,0,0,0,0,0
Ecuador,3,1,2,0,0,0,0,0
Egypt,42,6,5,3,0,0,0,0
El Salvador,2,0,0,1,0,0,0,0
Estonia,29,7,4,3,2,1,0,0
Ethiopia,3,2,0,0,1,0,0,0
Finland,120,39,11,11,2,2,3,0
France,426,127,54,21,15,4,5,1
Gabon,0,1,1,0,0,0,0,0
Georgia,13,2,3,2,3,0,1,0
Germany,955,411,116,84,25,17,32,2
Ghana,2,1,1,0,0,0,0,0
Greece,73,24,20,1,5,3,2,0
Guatemala,9,0,1,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0
Honduras,3,3,0,1,0,0,0,0
Hungary,90,27,16,6,1,0,1,0
Iceland,5,5,0,0,0,0,1,0
India,1459,226,72,31,29,26,13,2
Indonesia,48,19,13,3,1,1,1,0
Iran,98,24,26,30,9,3,4,0
Iraq,0,1,0,0,2,0,0,0
Ireland,103,35,17,2,3,2,2,0
Israel,115,16,14,9,2,2,2,1
Italy,240,79,66,16,10,5,7,0
Jamaica,0,1,2,0,1,0,0,0
Japan,40,3,5,3,2,0,0,0
Jordan,10,1,0,0,2,0,0,0
Kazakhstan,13,2,3,0,0,0,0,0
Kenya,6,1,6,1,0,0,1,0
Korea North,0,0,1,0,0,1,0,0
Korea South,43,17,2,3,1,0,1,1
Kosovo,2,0,0,0,0,0,0,0
Kuwait,1,1,0,0,0,0,0,0
Kyrgyzstan,3,1,0,1,0,0,0,0
Laos,0,0,1,1,0,0,0,0
Latvia,43,3,3,3,0,0,0,0
Lebanon,12,4,2,0,0,0,0,0
Liechtenstein,1,0,0,0,0,0,0,0
