Country,Dart,f,Go,Hadoop,Haskell,iOS,Java,JavaScript,lamp,Matlab,MongoDB,Node_js,Objective_C,Perl,php,Python,r,Redis,Ruby,Rust,Salesforce,Scala,Sharepoint,Spark,sql,SQL_Server,Swift,Visual_Basic,Windows_Phone,Wordpress
Afghanistan,1,2,1,1,1,3,6,2,1,2,1,1,3,1,3,2,2,1,3,1,2,3,2,1,3,1,2,2,2,1
Albania,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0
Algeria,0,0,2,1,1,2,4,5,1,3,1,0,0,2,6,3,1,0,1,1,1,1,1,0,5,3,1,2,3,1
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Antigua & Deps,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Argentina,2,2,9,12,7,17,33,53,9,4,20,24,5,1,21,39,9,11,15,4,2,9,1,2,31,13,15,3,6,5
Armenia,1,1,4,1,3,7,13,26,2,2,9,22,7,3,13,11,2,1,3,1,0,3,0,1,16,8,5,0,5,3
Australia,9,26,47,20,35,86,118,237,25,11,47,119,49,22,92,133,29,31,58,26,9,28,13,8,145,77,59,21,32,37
Austria,7,15,15,9,11,36,92,104,11,14,33,46,25,7,57,72,14,15,22,8,2,21,0,5,72,27,22,10,12,14
Azerbaijan,0,0,0,0,0,1,2,3,2,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1
Bahamas,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Bahrain,0,0,1,1,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Bangladesh,0,0,4,3,0,6,15,22,1,1,7,11,7,1,15,18,0,3,6,0,0,1,2,0,13,9,2,0,3,2
Barbados,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
Belarus,0,0,3,0,4,6,11,29,2,1,9,14,4,1,9,9,3,4,9,1,0,6,0,0,9,3,8,0,4,0
Belgium,8,6,13,4,11,27,73,89,11,3,32,48,15,8,50,55,6,6,20,6,3,13,7,1,67,31,23,7,18,8
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,1,0,0,1,1,2,2,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Bosnia Herzegovina,0,0,2,2,0,3,6,8,0,0,5,5,1,0,1,5,0,1,3,1,0,2,0,0,4,2,1,1,2,1
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,10,12,26,20,15,43,99,119,9,7,51,73,28,2,41,94,22,21,61,9,2,20,6,2,71,25,29,6,22,4
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,1,10,1,4,9,26,41,6,0,8,17,9,4,21,26,2,4,13,5,1,6,0,1,18,4,11,0,2,5
Burkina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,3,4,4,0,0,0,1,2,1,2,3,1,0,2,0,0,0,0,0,2,0,2,1,0,0
