Country,Software_Products,Web_Services,Other_(please specify),Finance_Banking,Internet,Consulting,Media_Advertising,Healthcare,Education,Telecommunications,Manufacturing,Government,Consumer_Products,Retail,Gaming,Defense,Aerospace,Non_Profit,Student,Not_Currently_Employed
United States,607,249,371,257,217,245,180,219,169,79,130,142,99,112,50,102,53,60,21,3
United Kingdom,294,155,212,180,105,107,89,76,96,63,38,46,41,60,32,14,16,16,3,3
India,714,165,66,77,77,72,23,49,35,39,23,7,34,29,11,2,9,3,4,6
Germany,261,91,130,43,102,90,66,45,46,26,70,21,47,26,8,6,12,10,9,3
Canada,131,46,58,52,31,30,33,23,15,23,14,20,18,8,19,5,9,0,6,0
France,100,33,39,46,52,33,28,21,13,14,12,10,17,8,10,7,12,3,2,2
Poland,105,50,42,53,45,15,24,13,13,29,14,4,22,13,11,0,2,3,2,2
Australia,81,34,50,38,24,37,23,26,35,14,11,38,9,3,9,5,2,3,3,2
Spain,91,30,36,13,38,48,16,21,11,18,6,14,17,7,12,1,11,5,1,3
Russian Federation,112,52,12,39,30,12,18,8,9,19,16,8,10,11,26,3,2,2,2,0
Netherlands,65,32,46,27,58,27,20,21,10,4,11,13,10,13,4,0,2,5,9,1
Sweden,54,27,24,22,18,62,16,11,10,27,15,7,7,12,16,2,3,2,0,1
Italy,70,34,26,19,19,37,21,12,12,9,19,9,4,6,7,2,1,1,0,2
Switzerland,47,18,31,21,23,16,10,11,11,6,15,12,5,3,2,2,1,4,4,0
Brazil,74,17,23,14,12,11,5,5,13,10,8,20,14,4,2,0,2,6,0,1
Austria,42,12,24,8,12,9,10,11,10,8,6,10,8,2,4,0,1,0,4,0
Denmark,35,25,14,8,11,13,13,7,6,5,6,5,6,7,5,1,0,3,2,2
Belgium,31,8,15,12,7,34,5,7,3,6,4,13,3,3,2,3,2,2,1,1
Iran,56,17,11,12,12,0,1,4,5,5,4,2,6,2,1,1,0,1,2,2
Finland,36,15,11,6,5,17,8,3,5,5,8,4,5,2,4,1,0,2,1,1
Czech Republic,48,16,17,11,6,5,2,4,3,7,6,2,2,3,3,0,2,0,0,0
Romania,60,21,8,8,9,1,3,4,3,5,0,2,1,2,6,0,0,0,2,0
Ukraine,35,40,6,6,4,4,6,4,4,7,0,1,5,4,5,1,0,0,2,0
Israel,37,12,8,8,14,7,13,3,3,10,2,1,5,0,3,3,0,1,2,1
China,31,10,5,16,28,3,4,2,5,7,3,1,3,1,5,1,0,1,1,0
Turkey,30,10,11,9,17,6,9,2,4,7,3,3,4,2,4,3,1,1,1,0
Portugal,22,10,5,5,15,16,5,6,8,7,2,2,3,11,3,2,1,0,0,0
Mexico,31,10,9,6,8,14,8,0,7,3,6,8,5,4,1,1,0,0,0,0
Ireland {Republic},29,11,12,15,8,9,2,8,2,9,3,2,2,1,4,0,0,1,0,2
Norway,19,9,15,7,2,19,5,4,5,8,3,4,4,2,1,1,1,1,1,0
New Zealand,27,11,16,8,5,13,3,4,3,4,2,4,2,4,0,0,1,0,1,1
Argentina,28,8,6,7,10,11,1,3,2,5,2,7,3,3,5,0,1,0,1,1
Hungary,29,8,10,15,5,5,4,4,1,6,3,4,4,2,1,0,0,2,0,1
South Africa,19,6,15,16,4,10,6,3,4,8,1,1,1,7,1,0,1,0,0,0
Greece,18,20,6,3,8,3,5,3,4,8,0,4,0,0,4,0,1,1,1,0
Pakistan,40,13,4,4,2,2,1,1,0,3,0,0,2,0,1,0,0,0,2,0
Bulgaria,25,11,6,8,2,4,2,0,0,3,0,1,3,1,5,0,0,2,0,0
Indonesia,18,7,2,4,2,8,1,4,1,2,5,2,4,0,2,0,0,0,0,1
Armenia,16,8,3,4,2,4,0,2,1,0,1,5,1,0,5,0,0,0,0,1
Lithuania,10,6,4,7,3,2,4,0,1,3,1,1,2,0,2,1,1,0,1,0
Malaysia,18,3,4,6,1,2,3,0,1,1,3,0,1,2,1,0,1,0,0,0
Japan,13,6,3,3,5,0,1,1,3,2,1,0,5,0,3,0,0,0,0,0
Philippines,12,8,2,1,2,4,1,1,1,4,3,1,1,2,2,0,0,0,1,0
Serbia,17,7,0,2,6,0,2,1,0,0,1,0,2,3,2,1,2,0,0,0
Belarus,13,7,2,3,5,4,2,1,0,1,1,1,2,0,2,0,0,0,0,0
Latvia,5,7,3,2,6,5,2,0,0,3,3,4,0,1,2,0,1,0,0,0
Egypt,12,8,2,0,3,1,2,1,6,1,0,3,2,2,0,0,0,0,0,0
Singapore,9,1,3,8,2,0,5,0,2,3,4,0,1,1,2,2,0,0,0,0
Korea South,11,7,2,2,5,0,2,0,2,2,6,0,1,0,2,0,0,0,0,0
Vietnam,13,6,0,3,3,1,1,2,2,1,0,1,2,2,1,0,0,0,3,1
Croatia,19,2,2,1,1,0,1,0,3,5,0,0,1,1,1,1,1,0,0,0
Thailand,11,7,1,5,4,0,4,1,0,0,1,0,2,1,1,0,0,1,0,0
Slovenia,12,6,1,2,2,0,3,3,0,1,0,3,2,0,3,0,0,0,0,0
Uruguay,17,1,1,3,3,2,1,1,2,1,0,0,1,2,1,0,0,0,2,0
Bangladesh,23,7,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Chile,7,3,5,4,2,4,0,0,3,3,0,1,1,1,0,0,0,0,0,1
Slovakia,9,5,4,3,4,0,1,2,0,0,3,1,2,0,0,0,0,0,1,0
Sri Lanka,21,4,1,0,3,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0
Estonia,10,5,1,3,3,0,1,2,1,2,1,3,1,0,0,0,0,0,0,0
Taiwan,9,3,3,1,6,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0
United Arab Emirates,7,4,2,0,2,1,3,0,0,0,0,6,3,1,0,1,0,0,0,0
Colombia,10,4,2,1,2,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0
Peru,4,2,2,2,3,2,1,1,2,2,0,2,0,0,0,0,0,0,0,1
Venezuela,6,1,0,0,0,0,3,3,1,2,0,3,0,0,0,0,0,0,0,1
Georgia,3,3,0,4,0,0,1,0,1,0,0,2,2,0,1,1,0,0,1,0
Nepal,8,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,2,1,1,1,1,0,0,2,1,1,1,4,0,0,1,0,0,1,0,0
Costa Rica,6,2,1,1,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Kazakhstan,4,3,1,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Kenya,4,1,1,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0
Lebanon,5,2,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Macedonia,6,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tunisia,4,3,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Afghanistan,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,2,2,0,0,1
Bosnia Herzegovina,6,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Nigeria,3,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Guatemala,2,0,1,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
