Country,I_like_my_job,I_love_my_job,Somewhere_in_the_middle,Dont_like_my_job,I_hate_my_job,Other (please specify)
United States,1299,1338,284,327,77,43
United Kingdom,701,568,147,169,43,16
India,495,568,214,138,22,11
Germany,487,419,106,81,18,8
Canada,220,203,50,50,12,4
France,213,148,55,37,5,6
Poland,241,106,55,49,8,5
Australia,194,156,39,48,9,0
Spain,168,111,50,65,4,5
Russian Federation,166,133,49,34,8,1
Netherlands,122,181,35,32,2,6
Sweden,145,133,30,20,6,3
Italy,123,93,43,40,5,4
Switzerland,102,101,16,20,2,1
Brazil,97,63,38,31,9,2
Austria,78,68,15,18,1,1
Denmark,75,73,12,11,2,1
Belgium,69,52,16,20,5,1
Iran,45,73,16,8,1,2
Finland,79,34,11,12,2,1
Czech Republic,62,46,13,13,1,0
Israel,58,56,11,7,1,1
Romania,68,39,14,12,0,1
Ukraine,48,50,14,17,1,2
Turkey,43,43,24,18,1,0
China,49,37,16,21,4,1
Portugal,58,35,13,15,0,2
Mexico,42,38,25,12,2,2
Ireland {Republic},63,28,13,8,5,3
Norway,41,51,7,9,1,1
New Zealand,41,42,10,12,2,1
Hungary,38,38,16,9,3,3
Argentina,49,23,13,15,4,0
South Africa,46,31,9,15,1,1
Greece,29,31,18,7,4,0
Pakistan,24,32,9,5,1,4
Bulgaria,32,22,11,8,0,1
Indonesia,23,15,14,9,0,2
Armenia,21,23,6,2,1,0
Lithuania,19,15,8,7,0,0
Malaysia,20,16,6,4,1,0
Japan,13,11,8,11,3,0
Philippines,9,18,12,5,1,1
Serbia,25,18,2,1,0,0
Latvia,18,15,4,7,0,0
Belarus,22,15,6,0,0,0
Egypt,13,17,8,4,1,0
Singapore,22,7,12,2,0,0
Korea South,16,10,7,8,1,0
Vietnam,17,16,5,3,0,1
Croatia,14,14,8,2,0,1
Slovenia,15,14,5,4,1,0
Thailand,18,12,7,1,1,0
Uruguay,14,18,2,4,0,0
Slovakia,15,10,6,3,1,1
Bangladesh,7,11,8,6,1,2
Chile,13,12,5,5,0,0
Sri Lanka,14,12,4,3,1,1
Estonia,16,12,3,3,0,0
Taiwan,17,5,5,4,0,0
United Arab Emirates,10,12,4,4,0,0
Colombia,10,7,6,2,2,0
Peru,14,7,3,0,0,0
Venezuela,6,6,6,1,0,1
Georgia,6,9,4,0,0,0
Nepal,4,4,8,1,0,2
Saudi Arabia,6,4,4,2,1,0
Costa Rica,7,5,1,1,0,2
Kazakhstan,6,4,1,3,0,0
Kenya,5,6,1,0,1,1
Lebanon,5,7,0,2,0,0
Macedonia,4,7,2,1,0,0
Tunisia,8,3,1,2,0,0
Afghanistan,0,5,0,3,2,2
Bosnia Herzegovina,6,3,0,2,0,1
Nigeria,2,6,1,1,1,0
Guatemala,6,3,0,1,0,0
Algeria,3,3,1,1,1,0
Jordan,6,1,2,0,0,0
Malta,3,4,2,0,0,0
Morocco,4,2,3,0,0,0
"Myanmar, {Burma}",5,3,1,0,0,0
Cyprus,2,3,1,2,0,0
Dominican Republic,2,1,4,0,1,0
Albania,2,0,4,0,0,0
Azerbaijan,2,2,1,1,0,0
Iceland,3,2,0,1,0,0
Moldova,4,0,2,0,0,0
Bahrain,1,1,2,0,0,1
Nicaragua,2,1,2,0,0,0
Paraguay,2,1,1,1,0,0
Trinidad & Tobago,3,1,0,0,0,1
Uzbekistan,2,1,2,0,0,0
Bolivia,2,0,1,1,0,0
Cambodia,1,1,0,1,0,1
Cuba,1,0,1,1,1,0
Ecuador,1,2,0,1,0,0
Ethiopia,0,1,2,0,0,1
Honduras,1,1,1,1,0,0
Panama,3,1,0,0,0,0
El Salvador,1,0,1,1,0,0
Ghana,1,1,1,0,0,0
Kyrgyzstan,0,2,1,0,0,0
Other,1,0,0,1,0,1
Barbados,0,1,0,0,1,0
Jamaica,0,1,0,0,1,0
Kosovo,0,1,0,1,0,0
Laos,1,0,0,0,1,0
Luxembourg,0,2,0,0,0,0
Madagascar,0,1,0,1,0,0
Mauritius,0,2,0,0,0,0
Mongolia,1,0,0,1,0,0
Montenegro,1,1,0,0,0,0
Qatar,0,1,1,0,0,0
Somalia,1,1,0,0,0,0
Syria,0,0,2,0,0,0
Uganda,0,1,1,0,0,0
Andorra,0,0,0,0,1,0
Antigua & Deps,1,0,0,0,0,0
Bhutan,0,1,0,0,0,0
Botswana,1,0,0,0,0,0
Cameroon,0,1,0,0,0,0
Gabon,0,1,0,0,0,0
Korea North,1,0,0,0,0,0
Kuwait,1,0,0,0,0,0
Liechtenstein,0,1,0,0,0,0
Mauritania,0,1,0,0,0,0
Namibia,0,1,0,0,0,0
Oman,1,0,0,0,0,0
San Marino,1,0,0,0,0,0
Senegal,1,0,0,0,0,0
Sierra Leone,0,1,0,0,0,0
Solomon Islands,1,0,0,0,0,0
South Sudan,0,1,0,0,0,0
Sudan,0,0,1,0,0,0
Swaziland,0,1,0,0,0,0
Tanzania,0,1,0,0,0,0
Turkmenistan,0,0,1,0,0,0
Zambia,0,1,0,0,0,0
