Country,Full_stack_web_developer,Student,Back_end_web_developer,Desktop_developer,Front_end_web_developer,Mobile developer - Android,Mobile developer - iOS,Embedded application developer,Enterprise level services developer,Developer with a statistics or mathematics background,Data scientist,"Executive (VP of Eng., CTO, CIO, etc.)",Mobile developer,System administrator,DevOps,Business intelligence or data warehousing expert,Quality Assurance,Graphics programmer,Product manager,Designer,Machine learning developer,Database administrator,Growth hacker,Mobile developer - Windows Phone
Afghanistan,5,1,0,1,1,1,0,1,0,0,0,1,2,0,1,0,1,1,0,0,1,2,1,0
Albania,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,5,6,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Antigua & Deps,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,49,9,12,7,8,4,4,3,6,2,1,1,2,4,2,2,1,1,2,4,1,0,1,0
Armenia,21,1,4,6,7,3,3,3,3,7,0,0,2,2,1,0,0,0,1,1,0,0,0,0
Australia,194,67,31,45,32,5,9,11,19,13,13,14,9,19,12,3,1,5,2,6,4,2,1,0
Austria,69,46,20,34,11,12,4,9,10,3,3,5,3,3,4,0,1,2,1,1,0,1,0,0
Azerbaijan,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bahamas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,13,7,11,4,2,3,2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Belarus,20,1,11,3,7,2,3,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Belgium,54,27,27,26,11,5,5,10,12,4,4,3,3,9,3,2,0,0,2,2,0,0,0,1
Benin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia Herzegovina,5,2,2,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Botswana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,131,31,39,24,7,10,9,9,8,3,6,4,5,3,7,2,2,2,0,0,1,2,1,1
Brunei,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,30,7,16,8,6,4,4,2,0,2,2,2,1,3,2,0,1,1,1,0,0,0,0,0
Burkina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,3,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cameroon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,254,117,58,46,32,8,21,16,23,17,10,8,11,13,7,4,12,1,6,8,4,1,2,0
Chile,14,5,4,7,2,0,0,0,0,0,3,3,1,0,1,1,0,0,0,0,1,0,0,0
China,41,27,28,13,12,20,8,5,4,2,2,2,3,2,3,1,1,1,2,2,4,2,2,1
Colombia,17,7,9,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Congo {Democratic Rep},0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,7,2,3,1,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Croatia,15,9,8,10,3,3,0,2,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1
Cuba,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,3,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,54,39,31,24,9,4,3,2,4,3,2,3,1,1,5,2,3,3,3,0,1,0,0,2
Denmark,74,35,24,16,16,8,7,10,2,4,9,7,2,3,6,1,3,0,0,3,1,1,0,0
Djibouti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Egypt,22,2,4,5,4,4,0,1,2,2,1,2,5,0,0,0,0,0,1,1,0,0,0,1
El Salvador,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,16,5,3,4,4,0,1,1,1,2,0,2,1,0,1,0,0,0,0,0,1,0,1,0
Ethiopia,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Finland,62,32,14,14,14,4,4,11,2,4,5,7,4,4,3,1,3,2,4,0,0,0,1,0
France,210,84,56,54,31,26,18,24,13,19,14,17,7,7,17,1,3,4,3,2,10,0,0,1
Gabon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,11,1,3,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Germany,408,325,127,236,67,40,32,55,61,43,33,25,22,19,27,12,5,14,14,11,8,8,5,6
Ghana,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,48,25,10,7,7,6,1,1,2,4,3,1,1,2,0,2,1,0,1,1,2,1,0,0
Guatemala,3,1,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Honduras,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Hungary,45,21,14,13,7,4,2,3,5,4,4,3,3,0,2,4,2,2,1,1,1,0,0,0
Iceland,3,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
India,523,190,244,88,191,194,116,46,44,24,17,20,45,15,17,12,21,8,14,13,18,20,4,7
Indonesia,31,14,11,6,5,6,1,3,2,1,0,1,2,1,0,1,0,0,2,1,0,1,1,1
Iran,70,11,27,28,17,25,4,5,1,4,0,3,0,1,2,0,0,3,4,3,1,1,0,0
Iraq,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
