JobTitle,Employed_full-time,I'm a student,Freelance / Contractor,Employed part-time,Unemployed,Prefer not to disclose,Other,Retired
Full-stack web developer,4953,252,807,253,92,60,54,6
Student,128,2284,47,117,79,26,38,2
Back-end web developer,1584,99,165,106,28,15,20,1
Desktop developer,1226,145,128,74,41,24,16,5
Front-end web developer,825,90,125,50,20,13,11,1
Mobile developer - Android,545,101,78,41,20,11,7,1
Mobile developer - iOS,428,57,72,25,11,6,9,0
Enterprise level services developer,508,3,50,8,4,4,3,3
Embedded application developer,456,34,45,26,4,5,5,1
Developer with a statistics or mathematics background,315,34,40,24,10,9,3,4
Data scientist,278,47,28,20,10,6,3,0
"Executive (VP of Eng., CTO, CIO, etc.)",276,4,43,5,3,11,16,2
Mobile developer,258,20,45,22,3,1,3,1
System administrator,247,17,24,19,10,6,2,4
DevOps,256,5,32,9,6,1,3,1
Business intelligence or data warehousing expert,145,3,15,6,1,0,1,0
Quality Assurance,132,9,4,5,3,2,0,0
Graphics programmer,91,22,15,8,9,5,1,1
Product manager,128,3,9,5,0,0,1,0
Designer,90,12,17,6,5,4,0,1
Machine learning developer,92,15,8,9,2,6,2,0
Database administrator,90,3,6,3,2,3,0,0
Growth hacker,24,6,6,5,6,4,1,1
Mobile developer - Windows Phone,22,7,6,2,4,0,0,0
