JobTitle,Male,Female,Prefer not to disclose,Other
Full-stack web developer,6390,261,72,16
Student,2555,192,69,16
Back-end web developer,1940,129,22,5
Desktop developer,1634,60,31,3
Front-end web developer,1083,126,15,7
Mobile developer - Android,765,68,9,4
Mobile developer - iOS,595,28,5,3
Embedded application developer,563,28,9,2
Enterprise level services developer,553,24,9,3
Developer with a statistics or mathematics background,427,23,7,2
Data scientist,371,27,4,4
Mobile developer,350,20,2,2
"Executive (VP of Eng., CTO, CIO, etc.)",355,9,6,2
System administrator,318,12,6,4
DevOps,303,7,10,2
Business intelligence or data warehousing expert,157,18,0,1
Quality Assurance,143,19,2,0
Graphics programmer,152,9,1,0
Product manager,146,9,0,0
Designer,130,16,2,1
Machine learning developer,131,7,4,1
Database administrator,107,10,0,0
Growth hacker,50,3,4,1
Mobile developer - Windows Phone,40,3,0,0
,,,,
,,,,
